,fartsdempere,trafikk_mengde,fotobokser,vegskulder,svingerestriksjon,vilt_fare,fartsgrense,trafikk_ulykke
0100 Fg108 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0100 Fg108 hp204,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
0100 Fg108 hp205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg108 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0100 Fg109 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
