,fartsdempere,trafikk_mengde,fotobokser,vegskulder,svingerestriksjon,vilt_fare,fartsgrense,trafikk_ulykke
0500 Eg6 hp198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eg6 hp54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Eh136 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Ev136 hp1,0.0,2093.6,3.0,0.0,0.0,1.0,59.285714285714285,250.0
0500 Ev136 hp2,0.0,1584.0,0.0,0.0,0.0,0.0,60.0,138.0
0500 Ev136 hp3,0.0,0.0,0.0,0.0,0.0,2.0,40.0,163.0
0500 Ev136 hp4,0.0,1248.6666666666667,1.0,0.0,0.0,3.0,0.0,160.0
0500 Ev136 hp400,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
0500 Ev136 hp5,0.0,1398.75,0.0,0.0,0.0,1.0,40.0,191.0
0500 Ev136 hp805,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev136 hp810,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev136 hp815,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev136 hp820,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev136 hp823,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp1,0.0,612.6666666666666,0.0,0.0,0.0,0.0,55.0,0.0
0500 Ev16 hp10,0.0,3610.0,0.0,0.0,1.0,3.0,53.333333333333336,353.0
0500 Ev16 hp11,0.0,1518.6666666666667,0.0,0.0,1.0,2.0,40.0,228.0
0500 Ev16 hp12,0.0,1866.5,0.0,0.0,2.0,0.0,0.0,51.0
0500 Ev16 hp13,0.0,1617.3333333333333,0.0,0.0,0.0,0.0,53.333333333333336,166.0
0500 Ev16 hp14,0.0,0.0,0.0,0.0,0.0,2.0,53.333333333333336,149.0
0500 Ev16 hp15,0.0,1678.0,0.0,0.0,1.0,1.0,58.0,215.0
0500 Ev16 hp16,0.0,7018.666666666667,0.0,0.0,0.0,0.0,55.0,142.0
0500 Ev16 hp17,0.0,6710.333333333333,0.0,0.0,0.0,0.0,25.0,109.0
0500 Ev16 hp18,0.0,5281.666666666667,0.0,0.0,0.0,0.0,56.666666666666664,192.0
0500 Ev16 hp19,0.0,5407.2,0.0,0.0,0.0,1.0,61.42857142857143,297.0
0500 Ev16 hp2,0.0,712.5,0.0,0.0,0.0,0.0,68.88888888888889,0.0
0500 Ev16 hp20,0.0,3402.5,0.0,0.0,1.0,2.0,64.44444444444444,103.0
0500 Ev16 hp21,0.0,2443.4,0.0,0.0,1.0,0.0,63.333333333333336,25.0
0500 Ev16 hp3,2.0,0.0,0.0,0.0,0.0,1.0,48.0,53.0
0500 Ev16 hp4,0.0,553.5,0.0,0.0,0.0,0.0,50.0,105.0
0500 Ev16 hp400,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
0500 Ev16 hp410,0.0,6699.0,0.0,0.0,0.0,0.0,30.0,34.0
0500 Ev16 hp5,0.0,0.0,0.0,0.0,0.0,3.0,60.0,155.0
0500 Ev16 hp6,0.0,1522.7142857142858,0.0,0.0,0.0,2.0,58.57142857142857,121.0
0500 Ev16 hp7,0.0,2014.4,0.0,0.0,0.0,1.0,55.0,298.0
0500 Ev16 hp8,0.0,2741.25,0.0,0.0,0.0,4.0,53.333333333333336,189.0
0500 Ev16 hp805,0.0,0.0,0.0,0.0,0.0,0.0,41.666666666666664,0.0
0500 Ev16 hp808,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp809,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp811,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0
0500 Ev16 hp835,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp838,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp840,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp849,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp850,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp852,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp858,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp860,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp870,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp889,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp890,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp892,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev16 hp893,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev16 hp9,3.0,6791.0,0.0,0.0,1.0,0.0,53.333333333333336,137.0
0500 Ev16 hp900,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp901,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev16 hp905,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0
0500 Ev6 hp1,0.0,9585.666666666666,0.0,1.0,1.0,0.0,48.0,36.0
0500 Ev6 hp10,0.0,4942.4,2.0,0.0,6.0,0.0,40.0,26.0
0500 Ev6 hp11,0.0,5892.888888888889,1.0,0.0,6.0,1.0,60.0,561.0
0500 Ev6 hp12,0.0,6363.4,3.0,0.0,1.0,1.0,53.333333333333336,434.0
0500 Ev6 hp13,0.0,5060.333333333333,2.0,0.0,0.0,0.0,56.0,345.0
0500 Ev6 hp14,0.0,3630.6666666666665,0.0,0.0,0.0,0.0,45.0,12.0
0500 Ev6 hp15,0.0,3294.625,0.0,0.0,0.0,0.0,58.333333333333336,2.0
0500 Ev6 hp16,0.0,4195.333333333333,1.0,0.0,2.0,1.0,59.0,524.0
0500 Ev6 hp17,0.0,3238.0,0.0,0.0,3.0,2.0,62.857142857142854,386.0
0500 Ev6 hp18,0.0,3391.8571428571427,2.0,0.0,5.0,0.0,60.0,684.0
0500 Ev6 hp19,2.0,3726.4444444444443,0.0,0.0,2.0,0.0,53.333333333333336,503.0
0500 Ev6 hp2,0.0,8245.0,0.0,0.0,4.0,0.0,57.5,179.0
0500 Ev6 hp20,0.0,1748.0,1.0,0.0,2.0,1.0,61.42857142857143,702.0
0500 Ev6 hp21,0.0,1018.0,0.0,0.0,0.0,0.0,60.0,71.0
0500 Ev6 hp3,0.0,8284.57142857143,0.0,0.0,4.0,0.0,60.0,726.0
0500 Ev6 hp4,0.0,10990.0,0.0,0.0,5.0,0.0,35.0,262.0
0500 Ev6 hp400,0.0,8573.5,0.0,0.0,0.0,0.0,25.0,42.0
0500 Ev6 hp401,0.0,2965.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Ev6 hp450,0.0,9210.5,0.0,0.0,0.0,0.0,30.0,0.0
0500 Ev6 hp492,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0500 Ev6 hp5,0.0,11003.0,0.0,0.0,3.0,0.0,0.0,85.0
0500 Ev6 hp54,0.0,1209.0,0.0,0.0,0.0,0.0,25.0,1.0
0500 Ev6 hp56,0.0,12334.4,0.0,0.0,1.0,0.0,42.0,58.0
0500 Ev6 hp6,0.0,11285.4,0.0,0.0,2.0,0.0,46.666666666666664,86.0
0500 Ev6 hp656,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp661,0.0,7294.5,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp7,0.0,11270.2,0.0,0.0,2.0,0.0,40.0,126.0
0500 Ev6 hp72,0.0,670.0,0.0,0.0,2.0,0.0,64.0,0.0
0500 Ev6 hp74,0.0,820.0,0.0,0.0,2.0,0.0,64.0,10.0
0500 Ev6 hp75,0.0,986.0,0.0,0.0,0.0,0.0,56.0,10.0
0500 Ev6 hp76,0.0,3494.1666666666665,0.0,0.0,0.0,0.0,56.0,0.0
0500 Ev6 hp77,0.0,2310.5,0.0,0.0,0.0,0.0,56.0,2.0
0500 Ev6 hp78,0.0,1518.8,0.0,0.0,0.0,0.0,71.11111111111111,1.0
0500 Ev6 hp79,0.0,293.0,0.0,0.0,0.0,0.0,70.0,0.0
0500 Ev6 hp8,0.0,8730.57142857143,0.0,0.0,2.0,1.0,40.0,114.0
0500 Ev6 hp80,0.0,762.0,0.0,0.0,2.0,0.0,72.0,0.0
0500 Ev6 hp800,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
0500 Ev6 hp801,0.0,0.0,0.0,0.0,1.0,0.0,22.5,0.0
0500 Ev6 hp802,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Ev6 hp805,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0
0500 Ev6 hp809,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0500 Ev6 hp81,0.0,323.6,0.0,0.0,2.0,0.0,45.0,0.0
0500 Ev6 hp810,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0
0500 Ev6 hp811,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev6 hp82,0.0,325.4,0.0,0.0,2.0,0.0,64.0,1.0
0500 Ev6 hp820,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp842,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0
0500 Ev6 hp845,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0500 Ev6 hp847,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev6 hp849,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0500 Ev6 hp850,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp86,0.0,375.2,0.0,0.0,2.0,0.0,64.0,0.0
0500 Ev6 hp862,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp869,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp870,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp872,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp873,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev6 hp874,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp880,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp882,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp883,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp885,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev6 hp886,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
0500 Ev6 hp887,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp889,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0500 Ev6 hp89,0.0,863.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0
0500 Ev6 hp892,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp893,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0500 Ev6 hp894,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp9,0.0,6984.0,0.0,0.0,4.0,0.0,45.0,15.0
0500 Ev6 hp90,0.0,74.4,0.0,0.0,0.0,0.0,72.0,0.0
0500 Ev6 hp900,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Ev6 hp905,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0500 Ev6 hp91,0.0,372.8,0.0,0.0,0.0,0.0,72.0,0.0
0500 Ev6 hp92,0.0,80.4,0.0,0.0,0.0,0.0,64.0,0.0
0500 Fb33 hp1,0.0,0.0,0.0,0.0,0.0,0.0,22.5,14.0
0500 Fg110 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg110 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg110 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg110 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg110 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg111 hp50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg115 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg132 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg132 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg14 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg151 hp1,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0
0500 Fg151 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg151 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg151 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg151 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg16 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg16 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg16 hp69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
0500 Fg172 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg172 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg213 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0500 Fg213 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg216 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg216 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg216 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg216 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg216 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg240 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg244 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg244 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg244 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg244 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg244 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg245 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg245 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg245 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg245 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg246 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg246 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg246 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg246 hp152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg246 hp190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg249 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg250 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg250 hp204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg250 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg253 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg253 hp161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg253 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg254 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg254 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg254 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp2,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0
0500 Fg255 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0500 Fg255 hp203,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
0500 Fg255 hp210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg255 hp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg257 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg257 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg257 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg311 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg311 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp10,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0500 Fg312 hp11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg312 hp9,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0
0500 Fg319 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg319 hp207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp1,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0
0500 Fg33 hp150,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0
0500 Fg33 hp151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp195,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
0500 Fg33 hp201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp207,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0500 Fg33 hp208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg33 hp8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg330 hp150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg330 hp160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg330 hp2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
0500 Fg34 hp155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg34 hp156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg34 hp203,0.0,769.5,0.0,0.0,0.0,1.0,30.0,0.0
0500 Fg34 hp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg361 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg361 hp152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0500 Fg401 hp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
